iter	MAPE	RMSE
0	26.54845335	904050.7895
1	39.03715423	836417.0081
2	34.14769871	814600.3569
3	22.63689822	791060.862
4	24.39572012	775903.071
5	19.84377256	765018.324
6	19.38490048	746657.7398
7	19.74447622	739321.2811
8	20.58262458	728521.4193
9	21.01140463	708730.5265
10	21.96151486	704615.9803
11	21.98303335	696157.5105
12	21.43150548	691011.1352
13	21.9168483	687228.2384
14	21.74466629	679932.9058
15	21.7905076	674097.3918
16	22.27097479	670410.6486
17	22.39244269	667806.9049
18	22.5546871	663508.3879
19	22.46725189	661855.6032
20	22.56995817	654231.3571
21	22.33558334	651968.4193
22	22.19204621	648644.0842
23	22.19406527	644063.9303
24	22.36582122	637793.0971
25	22.29777347	634983.1182
26	22.50058952	632168.2111
27	21.29754983	630596.5984
28	21.03676116	628364.9909
29	20.68219963	626936.1772
30	20.6750265	625024.4371
31	20.82017087	619578.4114
32	20.85994884	616351.8342
33	20.54658315	615088.3862
34	20.79911156	611099.739
35	20.71880212	606596.2094
36	20.4372086	603997.4572
37	20.26809276	602257.5855
38	20.24622441	601385.755
39	19.90008324	600377.9637
40	19.51203267	597211.073
41	19.58726198	594696.4931
42	19.40110901	591636.4743
43	20.39804118	588821.9378
44	20.47927083	587555.1713
45	20.59514577	585840.5554
46	20.21780844	585005.6997
47	20.26338788	581829.3914
48	20.59852199	580869.0044
49	20.65348054	579257.6076
50	20.71910069	573937.7776
51	20.92978832	573076.2288
52	20.81570485	570465.8808
53	20.9925142	569473.621
54	20.89836959	568269.878
55	20.94201034	567194.1038
56	20.87893537	565256.2318
57	20.98751418	563358.9217
58	21.01509406	561144.0979
59	21.1012722	560385.816
60	21.19175802	558162.9543
61	21.19651905	556381.8513
62	21.34926494	555937.9183
63	21.34263617	552520.8204
64	21.26531904	550646.89
65	21.98632231	549852.3684
66	21.8998779	548765.0136
67	21.89593891	547683.7369
68	22.01787981	546947.7852
69	21.93678917	544851.943
70	24.75115589	544112.5616
71	24.84613294	542887.0063
72	24.85583538	541177.3035
73	24.64383476	539017.8326
74	24.68844578	538606.5845
75	24.71621989	538035.2582
76	24.61476027	535502.6178
77	24.67157678	533898.2048
78	24.71588031	532904.2945
79	25.61268889	532351.9969
80	25.68278835	530393.7592
81	24.49385063	529455.6453
82	24.48007448	528949.0022
83	24.37842412	528406.4976
84	24.26368364	527687.7175
85	24.53751158	527192.2916
86	24.01586286	526254.7314
87	23.98331766	525812.4412
88	24.41854218	524922.2632
89	24.38220416	522631.0074
90	24.434698	521386.5627
91	24.45070742	520885.7834
92	24.43802716	520701.2716
93	24.54987042	520094.8117
94	24.41263881	519661.6168
95	24.4202097	518043.2974
96	24.54540285	517332.1574
97	24.87122533	516345.8579
98	24.84441501	515728.2742
99	24.75849593	514878.6311
100	24.75024776	514710.2153
101	24.74281541	514457.2703
102	24.60468951	513733.3642
103	24.58298219	513085.6849
104	24.37052189	512426.0644
105	24.27855214	512119.2413
106	24.06492687	511382.8176
107	23.75793519	510695.9729
108	23.76228205	509712.7658
109	23.72351877	508994.6346
110	23.8114562	508558.898
111	23.81558953	507445.1561
112	23.77057517	507093.7829
113	23.8042414	506083.38
114	23.89984142	505565.0796
115	23.80086692	504384.67
116	24.07242581	503522.3149
117	23.9633975	502951.1129
118	23.93709926	502922.9179
119	23.999443	502233.0349
120	24.04978416	501323.1421
121	23.71685738	500924.8492
122	23.57622587	499234.7806
123	23.63147738	498860.677
124	23.68605628	498006.4216
125	23.435142	497838.3072
126	23.4663632	497341.4394
127	23.46066515	497141.7642
128	23.45328268	495355.2373
129	22.99171684	495041.6543
130	22.86866448	494170.7725
131	22.85036883	494098.5904
132	22.80468744	493023.3527
133	22.77916799	492513.0922
134	22.85765093	492399.6909
135	22.87349043	491941.9805
136	22.92450517	491392.2344
137	23.15519554	491174.623
138	23.23578539	490847.4259
139	23.141484	490423.2677
140	23.06962273	489536.1932
141	23.1127908	489079.3858
142	23.11798981	488427.1935
143	23.12558844	487835.4103
144	23.02526729	487552.9453
145	22.94002388	486956.6987
146	22.93834161	485912.3313
147	22.9345267	484969.7638
148	23.09889788	484675.849
149	22.88379085	484040.7946
150	23.56198538	483655.5542
151	23.5776885	483000.5805
152	23.67681291	482476.8102
153	23.63362762	482017.3522
154	23.61052428	481649.2917
155	23.59820999	481428.929
156	23.38081208	480679.1341
157	23.42341047	480195.6372
158	23.49600268	479507.5625
159	23.437013	478792.7744
160	23.38408297	478109.7366
161	23.3881383	477919.7198
162	23.3672779	477324.3674
163	23.37226515	476930.5107
164	23.51546511	475906.4283
165	23.45391637	475625.8342
166	23.21766294	475119.9543
167	23.20708838	474837.1316
168	23.27152669	474474.8563
169	23.26751624	474351.2892
170	23.26850538	473492.3613
171	23.32681826	473306.0316
172	23.25878635	472609.3219
173	23.27830568	472269.3726
174	23.2407571	472117.6034
175	23.24317643	471502.0076
176	23.31405923	470902.3119
177	23.39045427	469955.9404
178	23.52521804	469584.7124
179	23.45169468	468544.1213
180	23.36125242	468023.9775
181	23.38890311	467361.4309
182	23.36585851	467026.1524
183	23.07181686	466667.4687
184	23.15101956	465936.7992
185	23.09030793	465191.3131
186	23.11133216	465032.0757
187	23.10548917	465001.222
188	23.15862704	464621.9119
189	23.13706031	464607.678
190	23.1174057	463661.0102
191	23.11612327	463252.7246
192	23.13954531	462805.9339
193	23.06287143	462389.9675
194	23.00011764	462238.181
195	22.97101044	461528.386
196	23.05147344	461247.0344
197	22.99898763	460111.8373
198	23.0286828	459986.8599
199	23.03401528	459265.3009
200	23.05974077	459008.2915
201	23.14398714	458551.8047
202	23.03665498	458331.1084
203	23.14708224	457335.5135
204	23.33010531	456725.3627
205	23.35264843	456239.7674
206	23.33974852	455661.7209
207	23.23622669	455655.1051
208	23.39398834	455244.0372
209	23.17200692	454784.9248
210	23.212629	454673.2434
